manager,season,gw,gw_points
jamie,2023,20,66
jamie,2023,21,84
jamie,2023,22,46
jamie,2023,23,41
jamie,2023,24,89
jamie,2023,25,63
jamie,2023,26,47
jamie,2023,27,56
jamie,2023,28,74
jamie,2023,29,8
jamie,2023,30,55
jamie,2023,31,52
jamie,2023,32,54
jamie,2023,33,71
jamie,2023,34,108
jamie,2023,35,49
jamie,2023,36,60
jamie,2023,37,102
jamie,2023,38,55
lloyd,2023,1,49
lloyd,2023,2,60
lloyd,2023,3,38
lloyd,2023,4,75
lloyd,2023,5,38
lloyd,2023,6,52
lloyd,2023,7,57
lloyd,2023,8,52
lloyd,2023,9,62
lloyd,2023,10,110
lloyd,2023,11,31
lloyd,2023,12,75
lloyd,2023,13,37
lloyd,2023,14,34
lloyd,2023,15,43
lloyd,2023,16,46
lloyd,2023,17,32
lloyd,2023,18,31
lloyd,2023,19,22
lloyd,2023,20,44
lloyd,2023,21,44
lloyd,2023,22,63
lloyd,2023,23,31
lloyd,2023,24,83
lloyd,2023,25,85
lloyd,2023,26,31
lloyd,2023,27,74
lloyd,2023,28,50
lloyd,2023,29,6
lloyd,2023,30,74
lloyd,2023,31,65
lloyd,2023,32,50
lloyd,2023,33,75
lloyd,2023,34,80
lloyd,2023,35,32
lloyd,2023,36,95
lloyd,2023,37,96
lloyd,2023,38,37
mamta,2023,1,59
mamta,2023,2,55
mamta,2023,3,37
mamta,2023,4,81
mamta,2023,5,57
mamta,2023,6,78
mamta,2023,7,51
mamta,2023,8,47
mamta,2023,9,72
mamta,2023,10,78
mamta,2023,11,36
mamta,2023,12,66
mamta,2023,13,43
mamta,2023,14,53
mamta,2023,15,47
mamta,2023,16,45
mamta,2023,17,41
mamta,2023,18,32
mamta,2023,19,32
mamta,2023,20,71
mamta,2023,21,65
mamta,2023,22,54
mamta,2023,23,39
mamta,2023,24,75
mamta,2023,25,81
mamta,2023,26,28
mamta,2023,27,45
mamta,2023,28,49
mamta,2023,29,24
mamta,2023,30,61
mamta,2023,31,47
mamta,2023,32,66
mamta,2023,33,93
mamta,2023,34,108
mamta,2023,35,79
mamta,2023,36,101
mamta,2023,37,108
mamta,2023,38,72
matt,2023,1,80
matt,2023,2,52
matt,2023,3,37
matt,2023,4,90
matt,2023,5,42
matt,2023,6,76
matt,2023,7,41
matt,2023,8,37
matt,2023,9,66
matt,2023,10,69
matt,2023,11,37
matt,2023,12,55
matt,2023,13,74
matt,2023,14,69
matt,2023,15,39
matt,2023,16,17
matt,2023,17,17
matt,2023,18,60
matt,2023,19,49
matt,2023,20,38
matt,2023,21,32
matt,2023,22,36
matt,2023,23,59
matt,2023,24,75
matt,2023,25,72
matt,2023,26,36
matt,2023,27,45
matt,2023,28,35
matt,2023,29,3
matt,2023,30,35
matt,2023,31,35
matt,2023,32,41
matt,2023,33,49
matt,2023,34,43
matt,2023,35,46
matt,2023,36,76
matt,2023,37,63
matt,2023,38,42
mika,2023,1,59
mika,2023,2,73
mika,2023,3,52
mika,2023,4,46
mika,2023,5,49
mika,2023,6,74
mika,2023,7,60
mika,2023,8,55
mika,2023,9,73
mika,2023,10,64
mika,2023,11,21
mika,2023,12,54
mika,2023,13,43
mika,2023,14,57
mika,2023,15,40
mika,2023,16,31
mika,2023,17,42
mika,2023,18,37
mika,2023,19,30
mika,2023,20,54
mika,2023,21,52
mika,2023,22,63
mika,2023,23,44
mika,2023,24,80
mika,2023,25,82
mika,2023,26,25
mika,2023,27,78
mika,2023,28,60
mika,2023,29,9
mika,2023,30,51
mika,2023,31,61
mika,2023,32,69
mika,2023,33,70
mika,2023,34,81
mika,2023,35,63
mika,2023,36,48
mika,2023,37,80
mika,2023,38,63
oli,2023,1,66
oli,2023,2,37
oli,2023,3,52
oli,2023,4,76
oli,2023,5,45
oli,2023,6,81
oli,2023,7,64
oli,2023,8,50
oli,2023,9,69
oli,2023,10,44
oli,2023,11,36
oli,2023,12,72
oli,2023,13,33
oli,2023,14,54
oli,2023,15,43
oli,2023,16,31
oli,2023,17,44
oli,2023,18,52
oli,2023,19,60
oli,2023,20,73
oli,2023,21,49
oli,2023,22,56
oli,2023,23,70
oli,2023,24,55
oli,2023,25,71
oli,2023,26,47
oli,2023,27,62
oli,2023,28,60
oli,2023,29,20
oli,2023,30,67
oli,2023,31,58
oli,2023,32,67
oli,2023,33,87
oli,2023,34,108
oli,2023,35,68
oli,2023,36,69
oli,2023,37,102
oli,2023,38,52
roger,2023,1,57
roger,2023,2,41
roger,2023,3,43
roger,2023,4,94
roger,2023,5,59
roger,2023,6,62
roger,2023,7,35
roger,2023,8,55
roger,2023,9,92
roger,2023,10,58
roger,2023,11,22
roger,2023,12,69
roger,2023,13,48
roger,2023,14,75
roger,2023,15,44
roger,2023,16,36
roger,2023,17,65
roger,2023,18,34
roger,2023,19,48
roger,2023,20,85
roger,2023,21,62
roger,2023,22,61
roger,2023,23,53
roger,2023,24,57
roger,2023,25,71
roger,2023,26,38
roger,2023,27,56
roger,2023,28,66
roger,2023,29,20
roger,2023,30,47
roger,2023,31,35
roger,2023,32,68
roger,2023,33,62
roger,2023,34,59
roger,2023,35,52
roger,2023,36,53
roger,2023,37,104
roger,2023,38,54
saughn,2023,1,55
saughn,2023,2,44
saughn,2023,3,31
saughn,2023,4,76
saughn,2023,5,42
saughn,2023,6,82
saughn,2023,7,33
saughn,2023,8,46
saughn,2023,9,50
saughn,2023,10,82
saughn,2023,11,21
saughn,2023,12,73
saughn,2023,13,43
saughn,2023,14,40
saughn,2023,15,34
saughn,2023,16,57
saughn,2023,17,42
saughn,2023,18,47
saughn,2023,19,62
saughn,2023,20,89
saughn,2023,21,63
saughn,2023,22,57
saughn,2023,23,46
saughn,2023,24,69
saughn,2023,25,62
saughn,2023,26,50
saughn,2023,27,78
saughn,2023,28,68
saughn,2023,29,19
saughn,2023,30,66
saughn,2023,31,41
saughn,2023,32,65
saughn,2023,33,51
saughn,2023,34,98
saughn,2023,35,77
saughn,2023,36,67
saughn,2023,37,101
saughn,2023,38,66
alan,2024,1,52
alan,2024,2,51
alan,2024,3,56
alan,2024,4,45
alan,2024,5,44
alan,2024,6,39
alan,2024,7,57
alan,2024,8,18
alan,2024,9,39
alan,2024,10,10
alan,2024,11,29
alan,2024,12,61
alan,2024,13,64
alan,2024,14,45
alan,2024,15,25
alan,2024,16,48
alan,2024,17,50
alan,2024,18,46
alan,2024,19,75
alan,2024,20,88
alan,2024,21,86
alan,2024,22,57
alan,2024,23,58
alan,2024,24,111
alan,2024,25,95
alan,2024,26,63
alan,2024,27,64
alan,2024,28,50
alan,2024,29,36
alan,2024,30,40
alan,2024,31,32
alan,2024,32,64
alan,2024,33,78
alan,2024,34,37
alan,2024,35,47
alan,2024,36,61
alan,2024,37,49
alan,2024,38,48
allan,2024,1,72
allan,2024,2,49
allan,2024,3,84
allan,2024,4,29
allan,2024,5,62
allan,2024,6,40
